fold_change	p_value
1552712_a_at	0.0389222589271183	1
1552713_a_at	-0.596793037301674	8.88781078814139e-11
1552714_at	0.171832184722409	1
1552715_a_at	-0.158666486329427	1
1552716_at	-0.0686295541712472	1
1552717_s_at	0.2179569785738	0.0594565179787512
1552718_at	-0.238209070901966	0.0346832281277456
1552719_at	0.185910045061427	1
1552721_a_at	-2.96127057015724	2.653281756452e-16
1552722_at	-0.0193590468417413	1
1552724_at	0.102329915446428	1
1552725_s_at	0.0362536082748077	1
1552726_at	-0.270511135017156	0.0270774611160985
1552727_s_at	-0.329839155001314	1
1552729_at	0.0817898972810065	1
1552730_at	-0.0605862116456266	1
1552731_at	-0.0170674460666658	1
1552732_at	-0.0704213753882756	1
1552733_at	-0.14591602107624	1
1552734_at	0.0498640577005509	1
1552735_at	0.844262462821258	0.054918799318869
1552736_a_at	0.163216096828207	1
1552737_s_at	-0.177923766043071	1
1552738_a_at	0.107183606061723	1
1552739_s_at	0.123359298247647	1
1552740_at	-0.422382952030881	2.34735390588173e-05
1552742_at	-0.020636901446168	1
1552743_at	-0.180534821015103	0.0117678600580679
1552745_at	-0.075553972548553	1
1552747_a_at	0.0197224943562717	1
1552749_a_at	-0.443110271099116	6.72744840708494e-07
1552750_at	-0.155211361552115	1
1552751_a_at	-0.254812571418717	6.75681988777038e-05
1552752_a_at	-0.107407100645945	1
1552754_a_at	-0.0791748832799977	1
1552755_at	-1.591791852371	1.38710801037592e-06
1552757_s_at	-1.51822037485253	4.14593934631697e-06
1552758_at	-0.0655539774690812	1
1552760_at	0.0777696304590552	1
1552761_at	-0.261141250507277	0.00177608213077445
1552763_at	0.0387832142858611	1
1552765_x_at	0.164627445259119	0.551894013464607
1552766_at	-1.69623625613657	1.84251145111187e-12
1552767_a_at	-3.47681153372214	3.66065567269569e-15
1552768_at	-0.226786510045267	0.00788209680567642
1552769_at	-0.0261974493755384	1
1552770_s_at	-0.225600815070335	0.171585178668006
1552771_a_at	0.0241530930434082	1
1552772_at	0.041852041550313	1
1552773_at	-0.0475057420571039	1
1552774_a_at	-0.122684362665914	1
1552775_at	-0.0959866330695576	1
1552777_a_at	-0.38796980746677	2.20893055161017e-08
1552779_a_at	0.119223494717647	1
1552782_at	0.304683142056955	1
1552783_at	-0.0192526721678536	1
1552785_at	-0.01822472527846	1
1552787_at	0.22651119072744	1
1552788_a_at	0.104452739454338	1
1552789_at	0.0146997005958216	1
1552790_a_at	-0.376625787505452	5.34969964772511e-06
1552791_a_at	-0.0313138394268098	1
1552792_at	-0.0656532555626819	1
1552793_at	0.164306100271292	1
1552794_a_at	0.0135384956659599	1
1552796_a_at	-0.336902320505898	4.40550006149254e-06
1552797_s_at	-2.76474553623997	1.27542357109253e-11
1552798_a_at	0.593391051947558	9.67458901803961e-09
1552799_at	-0.122469878611666	1
1552800_at	-0.054561544409677	1
1552801_at	-0.204605608531246	0.58125635972907
1552803_a_at	0.0602899560888424	1
1552804_a_at	0.069643958313776	1
1552806_a_at	0.701529586849794	4.18897774618179e-10
1552807_a_at	1.471148490045	2.40360236232789e-13
1552808_at	-0.0492891354561031	1
1552809_at	0.0181482766727994	1
1552811_at	0.0492390480244014	1
1552812_a_at	0.215953094965557	0.447451882916288
1552813_at	-0.269765569517906	0.00135606399031966
1552814_a_at	-0.0514191032998212	1
1552816_at	0.120820239544428	1
1552818_a_at	-0.0317890050079259	1
1552819_at	-0.0839640835523099	1
1552822_at	0.145524493088893	1
1552825_at	-0.0493127977289598	1
1552826_at	-0.417053324207433	5.49618498025559e-10
1552827_s_at	-0.412270899468991	4.6478762882737e-08
1552828_at	-0.0897681626088258	1
1552829_at	0.0106418653312002	1
1552830_at	-0.0310501585217073	1
1552833_at	-0.0821353563710279	1
1552834_at	-0.127033739377929	1
1552835_at	-0.12581372806451	1
1552836_at	-0.083289302852771	1
1552837_at	-0.00187539729902531	1
1552839_at	-0.0542053303760799	1
1552841_s_at	-0.109746002500666	1
1552842_at	-0.134348236857627	1
1552843_at	-0.0643520708875465	1
1552845_at	0.184315016396264	1
1552846_s_at	1.88979409413897	3.07286250644393e-12
1552848_a_at	-0.167496354909672	1
1552849_at	0.0155493546883219	1
1552851_at	0.058454161011511	1
1552852_a_at	-0.0233971185928969	1
1552853_at	-0.195655882460479	0.0221766244927113
1552854_a_at	-0.183058714706076	0.00497481413477983
1552856_at	-0.0887361788201972	1
1552857_a_at	-0.173462941839054	1
1552858_at	0.0239634419488932	1
1552860_at	-0.0996842283935329	1
1552862_at	0.024831993652521	1
1552863_a_at	-0.144289121137293	1
1552865_a_at	0.00716690659430519	1
1552867_at	0.155134501541133	1
1552868_at	-0.0107305706289686	1
1552870_s_at	0.025617204255556	1
1552872_at	-0.206615481360825	1
1552873_s_at	-0.0424526148208066	1
1552875_a_at	0.204916533221435	0.861001401944036
1552876_at	-0.0396714507101255	1
1552877_s_at	-0.0922667015055456	1
1552878_at	-0.257052922551705	0.829536030187507
1552879_a_at	-0.29139129343881	1
1552880_at	0.594791791067725	0.00466310471135228
1552882_a_at	-0.183216532195441	0.1772998628566
1552884_at	-0.22348845425793	0.0569298101218572
1552885_a_at	-0.274424203746694	9.95281767589888e-05
1552887_at	-0.251736382784435	6.11012838052294e-05
1552889_a_at	-0.101858546965747	1
1552890_a_at	-0.0881402594500069	1
1552892_at	-0.102594222389295	1
1552893_at	-0.14696613283707	0.270412133794757
1552895_a_at	0.0100960173182423	1
1552897_a_at	-0.134484154853252	1
1552898_a_at	-0.0203956330628023	1
1552899_at	0.0309458043950688	1
1552900_a_at	-0.0607218931520941	1
1552902_a_at	-0.00496312279129141	1
1552903_at	-0.0983069342818519	1
1552904_at	0.0187791485075044	1
1552906_at	-0.0392734919620041	1
1552908_at	0.0258795286569806	1
1552910_at	-0.0453342630812568	1
1552911_at	-0.0696015178075466	1
1552912_a_at	0.0529221555606725	1
1552913_at	0.0201718828575954	1
1552914_a_at	0.198101313262486	0.00297843452740366
1552915_at	-0.388623926729529	1.37177270344691e-08
1552917_at	-0.206119439978554	0.0605085146855947
1552919_at	0.0139734985307403	1
1552921_a_at	0.411291331157185	0.000167941959307695
1552922_at	-0.0283927272902451	1
1552923_a_at	-0.147360394076769	1
1552924_a_at	-0.0278574855145211	1
1552925_at	-0.0545005274286026	1
1552927_at	-0.0801598751866313	1
1552928_s_at	-0.00414553649566463	1
1552929_at	0.0225328083940055	1
1552930_at	-0.144886330727294	1
1552931_a_at	0.0193003841763035	1
1552932_at	-0.149873590529533	1
1552933_at	-0.0494395216192847	1
1552935_at	-0.11491948614388	1
1552937_s_at	0.0802235154210784	1
1552938_at	-0.105970774110831	1
1552939_at	0.0544686372470671	1
1552940_at	-0.179885811600693	1.72089753602715e-05
1552942_at	-0.0977811293062301	1
1552943_at	-0.0153861964984885	1
1552944_a_at	-0.248629458228847	0.000354258094489178
1552946_at	0.38731002353884	1
1552947_x_at	0.235564317889247	1
1552948_at	-0.0335200003448755	1
1552950_at	-0.178611069234283	0.00790160139618573
1552952_at	-0.0173872493196909	1
1552953_a_at	-0.0988660811942133	1
1552954_at	-0.155307077930272	1
1552955_at	-0.0522956166866391	1
1552957_at	0.00961890807228061	1
1552960_at	-0.108212949278895	1
1552961_at	-0.0801693900829745	1
1552964_at	-0.0244828958816861	1
1552965_a_at	-0.0721601023355478	1
1552967_at	-0.146624168004915	1
1552969_a_at	-0.187245887490608	0.028047097550394
1552970_s_at	0.00966708906098956	1
1552971_at	-0.0233445864615871	1
1552972_at	-0.0020860088750938	1
1552973_at	-0.077321609537695	1
1552974_at	-0.0069325394471238	1
1552975_x_at	4.08832861498176e-05	1
1552976_at	-0.106115337909198	1
1552977_a_at	0.857800225552543	2.21402535185553e-11
1552978_a_at	0.186177413957371	1
1552979_at	-0.0430768076517216	1
1552980_at	-0.263203134880899	0.276998744507949
1552982_a_at	-0.0659292200696124	1
1552985_at	-0.280061242576492	0.0187440888692949
1552986_at	0.256967109274396	1
1552987_a_at	-0.0733762107796463	1
1552988_at	-0.0645426362018751	1
1552990_at	0.00760741534087472	1
1552991_at	-0.0227929936695128	1
1552993_at	0.0144509930969718	1
1552995_at	-0.10714142102457	1
1552997_a_at	-0.0188875504404136	1
1552998_at	-0.15205086645136	0.273158334926074
1552999_a_at	-0.0230660990813494	1
1553002_at	-0.046329996905683	1
1553003_at	-0.163637443242772	0.12320815463681
1553004_at	0.0122049687128394	1
1553006_at	0.0537134553987451	1
1553007_a_at	-0.0112131475578421	1
1553009_s_at	-0.12796441225604	1
1553011_at	0.0315636089321583	1
1553013_at	0.0656674281800211	1
1553015_a_at	-0.0083482983553278	1
1553016_at	-0.348316553160497	3.38953305877931e-08
1553019_at	-0.192442691731362	0.00132283179443283
1553020_at	0.0166167023411794	1
1553021_s_at	0.101128500857271	1
1553022_at	-0.0545320252899848	1
1553023_a_at	-0.0165470870584601	1
1553024_at	-0.015782611967802	1
1553025_at	-0.131821300477084	1
1553027_a_at	0.153950030281512	1
1553028_at	-0.0475192620287079	1
1553030_a_at	-0.825047188077762	1.51190807121338e-11
1553031_at	0.0381768551618493	1
1553032_at	-0.0501487287440616	1
1553033_at	-0.0440712180945213	1
1553034_at	0.388128278045993	1.10816751657376e-05
1553036_at	0.0372057145218285	1
1553037_a_at	-0.143455608063453	1
1553039_a_at	-0.129023925210045	1
1553041_at	-0.275172381376438	0.000941623315326224
1553042_a_at	0.351998425425811	0.0483455376982967
1553043_a_at	1.43824672885047	1.13405262741164e-14
1553044_at	-0.087170910887012	1
1553045_at	0.00885315112293839	1
1553046_s_at	0.0602321604622169	1
1553047_at	0.031828054989548	1
1553048_a_at	-0.00150933945129683	1
1553051_s_at	-0.0456025489078864	1
1553052_at	-0.136465740773686	1
1553053_at	-0.0730686748940079	1
1553055_a_at	0.608923403915648	1.4274004125988e-10
1553057_at	-0.111896489445552	1
1553058_at	-0.0719475623614847	1
1553059_at	-0.0288047001153227	1
1553060_at	-0.0324081001846146	1
1553061_at	-0.18133888265082	0.114858474558873
1553062_at	-0.945458204553235	2.92323127559197e-09
1553063_at	0.0153139124693569	1
1553064_at	-0.130909472395736	1
1553066_at	-0.0474628717504437	1
1553067_a_at	-0.146265704610983	0.410561708156655
1553069_at	-0.0694245010605177	1
1553070_a_at	-0.0624703277213015	1
1553071_a_at	-0.113015326304428	1
1553072_at	-0.228815451613651	0.000365788000605714
1553074_at	-0.138938784131252	1
1553075_a_at	-0.0286338154096177	1
1553076_at	-0.0367667020289875	1
1553077_at	-0.0472220676749222	1
1553078_at	0.0380250977857655	1
1553079_at	-0.0301818446159716	1
1553080_at	-0.143182921451507	0.0565049242941768
1553081_at	-0.196579357993736	0.738407776036325
1553082_at	-0.130667496975962	1
1553083_at	-0.127909262689734	1
1553084_at	-0.0121304636633424	1
1553086_at	-0.0982459908775528	1
1553087_at	-0.128599901395078	1
1553088_a_at	-0.131803082784799	1
1553089_a_at	-0.0234334192838253	1
1553093_a_at	0.0140681085822996	1
1553094_at	0.0534072168654083	1
1553096_s_at	0.327236462723794	0.00141282639934619
1553099_at	0.15007995608022	1
1553101_a_at	0.0887499421934406	1
1553102_a_at	0.467369429342721	0.028007888599678
1553103_at	0.213703817282386	1
1553105_s_at	0.0526118517044623	1
1553106_at	-0.0567428722731131	1
1553107_s_at	-0.159744814654125	1
1553108_at	-0.084260133554702	1
1553111_a_at	-0.379107373920847	0.00217664037175648
1553112_s_at	-0.220224287737229	1
1553113_s_at	-0.148255312648438	1
1553114_a_at	-0.0480965258002231	1
1553115_at	-0.118246799068285	1
1553117_a_at	0.0883651217597432	1
1553118_at	-0.544248438508439	2.69865450539713e-08
1553120_at	-0.0579431201539733	1
1553122_s_at	0.218579163797929	1
1553123_at	-0.0826621259597187	1
1553125_x_at	-0.0695628589441384	1
1553126_a_at	0.013563110079359	1
1553127_a_at	0.00605929212887668	1
1553129_at	-0.244411108634078	1
1553130_at	-0.189166649778866	0.65224637325694
1553131_a_at	-0.152603313498799	1
1553132_a_at	0.291845263495008	1
1553133_at	0.590400845428985	1.1847899029085e-05
1553134_s_at	0.12482906859492	1
1553136_at	-0.0575821796011242	1
1553137_s_at	-0.104564881346315	1
1553138_a_at	-0.0744235688824499	1
1553139_s_at	0.571383668263228	1.53927967439723e-13
1553140_at	0.12002699070582	1
1553141_at	0.074600380251499	1
1553142_at	0.526864128241738	3.67500802786951e-05
1553145_at	-0.406321541515021	0.0333947850074518
1553146_at	-0.115594558000839	1
1553147_at	-0.831736566455567	1.79207404853782e-07
1553148_a_at	0.207153492503018	1
1553150_at	0.082125118600795	1
1553151_at	-2.62340163366392	1.99274292007917e-14
1553153_at	-2.51937613770149	1.94936939364547e-15
1553155_x_at	-2.34323888135811	9.82602405182337e-16
1553156_at	-3.50901923971136e-05	1
1553157_at	-0.0635180833560711	1
1553158_at	-0.00519372366289428	1
1553159_at	1.41224825227887	9.31449909228042e-11
1553162_x_at	-0.0527933975600741	1
1553163_at	-0.117138679569685	1
1553165_at	0.301114441727826	0.196504174600271
1553166_at	-0.216810041413404	4.48739248439741e-06
1553167_a_at	-0.459607066367659	0.0236229772245271
1553168_at	-0.121677721426598	1
1553169_at	0.0684670187942444	1
1553171_x_at	0.142459462432371	1
1553172_at	-0.00687667443295936	1
1553174_at	-0.270208850118003	0.0147001425560611
1553175_s_at	-0.00617865140932805	1
1553176_at	0.0242500264412957	1
1553177_at	0.367164933603232	0.00114285817068747
1553178_a_at	-0.00672910275823302	1
1553179_at	-0.506499143808701	1.48062693289457e-09
1553180_at	-0.0947270105774907	1
1553181_at	-0.164082795072656	0.422802789947184
1553183_at	-0.126526124150454	0.37418101852707
1553185_at	0.202479969293197	1
1553186_x_at	0.250739595103877	1
1553188_s_at	-0.125309953452065	1
1553190_s_at	-0.161161415303066	1
1553191_at	-0.0279234729490967	1
1553192_at	-0.103162413421265	1
1553193_at	-0.10884023658518	1
1553194_at	-0.246780455260077	1
1553196_a_at	0.03158710598015	1
1553197_at	-0.0680005346135824	1
1553199_at	-0.0451603132365452	1
1553202_at	-0.199826428986037	1
1553204_at	0.0318287638302763	1
1553205_at	-0.113475653014596	1
1553207_at	0.00202447315087984	1
1553208_s_at	-0.0295396516591775	1
1553209_at	-0.050084039131808	1
1553211_at	-0.0220367613420538	1
1553212_at	0.0239583652565623	1
1553213_a_at	-0.0239887030551591	1
1553214_a_at	0.106606596986825	1
1553215_s_at	-0.0887407872323758	1
1553216_at	0.274401921269312	0.0619107071629076
1553217_s_at	0.168682768668102	1
